trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",30,0,-124.05775749344393,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-47.96453795138453,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-88.61208769371265,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-101.43238359012186,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,0,-71.27904338664769,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",30,8,-96.44598173539413,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 0}",1
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-124.96916117839378,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",25,0,-110.26693936573481,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",30,0,-202.42442419819537,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",30,0,-133.9992660523631,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",25,0,-165.75492547764966,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-87.87956308615085,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",25,0,-119.53100729339728,"{0: 14, 1: 2, 2: 5, 3: 4, 4: 0}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-47.72800387285307,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,0,-83.40260383138992,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,0,-33.073350426438836,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",30,0,-257.9397098863298,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",25,0,-152.58340015234654,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,0,-147.8387978196235,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",30,0,-107.63438026553776,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,2,-168.70229844892714,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 3}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",30,0,-231.6068825115663,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",25,0,-140.5904567402318,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",35,0,-172.96443016826277,"{0: 21, 1: 6, 2: 3, 3: 3, 4: 2}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,0,-85.82431908471038,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-82.30270985658034,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
